design_id,design_name,budget,theme,style,layers,difficulty,primary_flower,secondary_flower,accent_flower,primary_color,secondary_color,accent_color,diameter_ft,estimated_time_hr,people_required,occasion,description,flower_diversity,color_diversity,estimated_flower_cost
25,Lotus Design 25,2000,Modern,Lotus,9,Hard,Lotus,Rose,Marigold,Pink,Pink,Yellow,5,5.4,4,Home,Modern lotus design,3,2,1052.5
26,Lotus Design 26,1800,Modern,Lotus,9,Hard,Chrysanthemum,Tuberose,Orchid,White,White,Purple,7,5.4,4,Home,Modern lotus design,3,2,1418.4
27,Peacock Design 27,600,Modern,Peacock,5,Easy,Orchid,Daisy,Jasmine,Purple,White,White,8,3.0,5,Competition,Modern peacock design,3,2,1416.6
28,Star Design 28,1800,Modern,Star,9,Hard,Daisy,Marigold,Lotus,White,Yellow,Pink,8,5.4,2,School,Modern star design,3,3,729.5
29,Circular Design 29,2000,Temple,Circular,9,Hard,Jasmine,Chrysanthemum,Daisy,White,White,White,7,5.4,5,Competition,Temple circular design,3,1,856.3
30,Circular Design 30,600,Traditional,Circular,4,Easy,Daisy,Chrysanthemum,Lotus,White,White,Pink,7,2.4,4,Competition,Traditional circular design,3,2,710.4
31,Star Design 31,1000,Modern,Star,7,Medium,Tuberose,Marigold,Lotus,White,Yellow,Pink,4,4.2,2,School,Modern star design,3,3,911.7
32,Peacock Design 32,600,Floral,Peacock,7,Medium,Chrysanthemum,Rose,Lotus,White,Pink,Pink,6,4.2,3,School,Floral peacock design,3,2,1612.3
33,Lotus Design 33,1500,Floral,Lotus,7,Medium,Tuberose,Lotus,Orchid,White,Pink,Purple,8,4.2,5,School,Floral lotus design,3,3,1682.9
34,Circular Design 34,2000,Traditional,Circular,9,Hard,Tuberose,Jasmine,Marigold,White,White,Yellow,5,5.4,5,School,Traditional circular design,3,2,1600.1
35,Peacock Design 35,600,Temple,Peacock,4,Easy,Tuberose,Chrysanthemum,Lotus,White,White,Pink,4,2.4,3,School,Temple peacock design,3,2,605.1
36,Circular Design 36,600,Temple,Circular,8,Hard,Daisy,Tuberose,Rose,White,White,Pink,4,4.8,5,Office,Temple circular design,3,2,1259.7
37,Lotus Design 37,1000,Traditional,Lotus,8,Hard,Daisy,Orchid,Jasmine,White,Purple,White,3,4.8,5,Competition,Traditional lotus design,3,2,1350.9
38,Temple Style Design 38,1500,Temple,Temple Style,7,Medium,Jasmine,Rose,Orchid,White,Pink,Purple,8,4.2,3,Competition,Temple temple style design,3,3,1779.1
39,Temple Style Design 39,800,Modern,Temple Style,6,Medium,Lotus,Orchid,Jasmine,Pink,Purple,White,5,3.6,4,Competition,Modern temple style design,3,3,1642.9
40,Circular Design 40,1800,Floral,Circular,5,Easy,Chrysanthemum,Marigold,Jasmine,White,Yellow,White,3,3.0,3,Office,Floral circular design,3,2,671.7
41,Temple Style Design 41,1500,Temple,Temple Style,4,Easy,Marigold,Daisy,Rose,Yellow,White,Pink,8,2.4,4,Competition,Temple temple style design,3,3,1174.1
42,Lotus Design 42,800,Traditional,Lotus,4,Easy,Chrysanthemum,Daisy,Tuberose,White,White,White,6,2.4,4,Competition,Traditional lotus design,3,1,1882.9
43,Circular Design 43,1000,Temple,Circular,6,Medium,Orchid,Rose,Tuberose,Purple,Pink,White,6,3.6,3,Office,Temple circular design,3,3,1821.1
44,Star Design 44,2000,Modern,Star,4,Easy,Lotus,Orchid,Chrysanthemum,Pink,Purple,White,6,2.4,4,Home,Modern star design,3,3,917.1
45,Circular Design 45,800,Traditional,Circular,6,Medium,Jasmine,Marigold,Chrysanthemum,White,Yellow,White,3,3.6,4,Home,Traditional circular design,3,2,1376.0
46,Peacock Design 46,2000,Traditional,Peacock,7,Medium,Rose,Marigold,Tuberose,Pink,Yellow,White,8,4.2,3,School,Traditional peacock design,3,3,673.3
47,Lotus Design 47,1500,Temple,Lotus,6,Medium,Marigold,Chrysanthemum,Rose,Yellow,White,Pink,8,3.6,4,Office,Temple lotus design,3,3,976.5
48,Peacock Design 48,1500,Traditional,Peacock,8,Hard,Marigold,Daisy,Rose,Yellow,White,Pink,5,4.8,4,School,Traditional peacock design,3,3,1484.1
49,Circular Design 49,1500,Floral,Circular,6,Medium,Marigold,Rose,Orchid,Yellow,Pink,Purple,6,3.6,3,Home,Floral circular design,3,3,1566.1
50,Star Design 50,1500,Temple,Star,7,Medium,Marigold,Rose,Jasmine,Yellow,Pink,White,7,4.2,5,Office,Temple star design,3,3,1367.7
51,Peacock Design 51,1200,Temple,Peacock,9,Hard,Lotus,Chrysanthemum,Jasmine,Pink,White,White,8,5.4,5,Home,Temple peacock design,3,2,833.4
52,Peacock Design 52,2000,Modern,Peacock,7,Medium,Daisy,Rose,Lotus,White,Pink,Pink,4,4.2,5,Competition,Modern peacock design,3,2,1622.0
53,Star Design 53,600,Traditional,Star,4,Easy,Daisy,Tuberose,Lotus,White,White,Pink,5,2.4,2,School,Traditional star design,3,2,1899.6
54,Star Design 54,800,Floral,Star,7,Medium,Chrysanthemum,Marigold,Lotus,White,Yellow,Pink,5,4.2,3,Office,Floral star design,3,3,2174.2
55,Temple Style Design 55,2000,Modern,Temple Style,5,Easy,Marigold,Jasmine,Rose,Yellow,White,Pink,5,3.0,5,School,Modern temple style design,3,3,1352.4
56,Peacock Design 56,1000,Modern,Peacock,5,Easy,Lotus,Rose,Orchid,Pink,Pink,Purple,8,3.0,4,Office,Modern peacock design,3,2,1658.0
57,Temple Style Design 57,800,Floral,Temple Style,8,Hard,Jasmine,Chrysanthemum,Tuberose,White,White,White,4,4.8,2,School,Floral temple style design,3,1,1874.4
58,Lotus Design 58,800,Floral,Lotus,5,Easy,Marigold,Daisy,Rose,Yellow,White,Pink,7,3.0,4,Office,Floral lotus design,3,3,654.6
59,Circular Design 59,800,Modern,Circular,5,Easy,Jasmine,Lotus,Chrysanthemum,White,Pink,White,4,3.0,4,Competition,Modern circular design,3,2,1296.6
60,Lotus Design 60,1000,Temple,Lotus,8,Hard,Marigold,Daisy,Chrysanthemum,Yellow,White,White,3,4.8,4,School,Temple lotus design,3,2,987.0
61,Star Design 61,800,Temple,Star,4,Easy,Rose,Chrysanthemum,Jasmine,Pink,White,White,3,2.4,2,Competition,Temple star design,3,2,1793.4
62,Temple Style Design 62,600,Traditional,Temple Style,8,Hard,Rose,Lotus,Orchid,Pink,Pink,Purple,7,4.8,3,Home,Traditional temple style design,3,2,1629.5
63,Star Design 63,1200,Traditional,Star,9,Hard,Chrysanthemum,Rose,Orchid,White,Pink,Purple,6,5.4,5,Competition,Traditional star design,3,3,853.2
64,Temple Style Design 64,1000,Temple,Temple Style,6,Medium,Rose,Tuberose,Marigold,Pink,White,Yellow,7,3.6,2,School,Temple temple style design,3,3,1236.3
65,Lotus Design 65,800,Floral,Lotus,7,Medium,Orchid,Jasmine,Rose,Purple,White,Pink,6,4.2,5,Office,Floral lotus design,3,3,1159.2
66,Star Design 66,2000,Traditional,Star,6,Medium,Jasmine,Marigold,Daisy,White,Yellow,White,6,3.6,5,Competition,Traditional star design,3,2,1979.5
67,Star Design 67,1800,Floral,Star,6,Medium,Orchid,Daisy,Tuberose,Purple,White,White,8,3.6,5,Home,Floral star design,3,2,1280.0
68,Peacock Design 68,1500,Modern,Peacock,9,Hard,Daisy,Marigold,Orchid,White,Yellow,Purple,5,5.4,2,Home,Modern peacock design,3,3,319.9
69,Lotus Design 69,1800,Traditional,Lotus,7,Medium,Rose,Lotus,Orchid,Pink,Pink,Purple,6,4.2,3,School,Traditional lotus design,3,2,1863.8
70,Lotus Design 70,2000,Floral,Lotus,7,Medium,Jasmine,Daisy,Rose,White,White,Pink,7,4.2,2,Office,Floral lotus design,3,2,875.9
71,Lotus Design 71,1500,Temple,Lotus,6,Medium,Marigold,Lotus,Orchid,Yellow,Pink,Purple,4,3.6,4,Home,Temple lotus design,3,3,2336.4
72,Peacock Design 72,600,Floral,Peacock,8,Hard,Rose,Lotus,Marigold,Pink,Pink,Yellow,4,4.8,2,School,Floral peacock design,3,2,599.6
73,Star Design 73,2000,Traditional,Star,9,Hard,Orchid,Daisy,Rose,Purple,White,Pink,3,5.4,2,School,Traditional star design,3,3,1068.6
74,Temple Style Design 74,1800,Modern,Temple Style,8,Hard,Lotus,Tuberose,Jasmine,Pink,White,White,6,4.8,3,Home,Modern temple style design,3,2,2292.2
75,Circular Design 75,1500,Modern,Circular,9,Hard,Marigold,Chrysanthemum,Lotus,Yellow,White,Pink,5,5.4,5,School,Modern circular design,3,3,592.0
76,Temple Style Design 76,600,Modern,Temple Style,4,Easy,Chrysanthemum,Jasmine,Orchid,White,White,Purple,7,2.4,3,Home,Modern temple style design,3,2,1182.7
77,Circular Design 77,1200,Floral,Circular,7,Medium,Chrysanthemum,Tuberose,Orchid,White,White,Purple,7,4.2,4,Home,Floral circular design,3,2,1557.9
78,Circular Design 78,600,Modern,Circular,5,Easy,Rose,Jasmine,Lotus,Pink,White,Pink,4,3.0,5,Home,Modern circular design,3,2,1671.1
79,Star Design 79,1800,Traditional,Star,7,Medium,Marigold,Jasmine,Daisy,Yellow,White,White,7,4.2,2,Home,Traditional star design,3,2,1265.5
80,Star Design 80,1500,Modern,Star,4,Easy,Daisy,Tuberose,Marigold,White,White,Yellow,5,2.4,3,School,Modern star design,3,2,760.7
81,Peacock Design 81,1500,Modern,Peacock,9,Hard,Rose,Lotus,Orchid,Pink,Pink,Purple,3,5.4,3,Office,Modern peacock design,3,2,1444.8
82,Peacock Design 82,800,Temple,Peacock,6,Medium,Daisy,Chrysanthemum,Orchid,White,White,Purple,3,3.6,2,Home,Temple peacock design,3,2,2089.7
83,Peacock Design 83,800,Temple,Peacock,9,Hard,Marigold,Orchid,Tuberose,Yellow,Purple,White,3,5.4,3,School,Temple peacock design,3,3,824.0
84,Lotus Design 84,1000,Temple,Lotus,4,Easy,Chrysanthemum,Daisy,Rose,White,White,Pink,3,2.4,5,Competition,Temple lotus design,3,2,661.8
85,Lotus Design 85,1500,Floral,Lotus,6,Medium,Rose,Tuberose,Orchid,Pink,White,Purple,6,3.6,3,Office,Floral lotus design,3,3,1170.5
86,Temple Style Design 86,1800,Modern,Temple Style,7,Medium,Marigold,Tuberose,Rose,Yellow,White,Pink,6,4.2,3,School,Modern temple style design,3,3,610.4
87,Star Design 87,600,Modern,Star,8,Hard,Chrysanthemum,Daisy,Marigold,White,White,Yellow,8,4.8,4,Competition,Modern star design,3,2,1202.1
88,Lotus Design 88,1000,Temple,Lotus,8,Hard,Chrysanthemum,Daisy,Tuberose,White,White,White,6,4.8,3,Competition,Temple lotus design,3,1,1109.3
89,Star Design 89,1500,Traditional,Star,4,Easy,Rose,Orchid,Jasmine,Pink,Purple,White,5,2.4,3,Office,Traditional star design,3,3,2025.3
90,Star Design 90,800,Floral,Star,7,Medium,Chrysanthemum,Daisy,Orchid,White,White,Purple,5,4.2,2,Home,Floral star design,3,2,1132.0
91,Lotus Design 91,1000,Traditional,Lotus,4,Easy,Jasmine,Chrysanthemum,Rose,White,White,Pink,7,2.4,5,Office,Traditional lotus design,3,2,825.2
92,Temple Style Design 92,1500,Traditional,Temple Style,9,Hard,Chrysanthemum,Jasmine,Marigold,White,White,Yellow,4,5.4,5,Home,Traditional temple style design,3,2,1447.0
93,Star Design 93,600,Traditional,Star,6,Medium,Jasmine,Daisy,Rose,White,White,Pink,7,3.6,5,Competition,Traditional star design,3,2,2213.8
94,Star Design 94,1500,Floral,Star,5,Easy,Chrysanthemum,Tuberose,Jasmine,White,White,White,4,3.0,5,School,Floral star design,3,1,2171.7
95,Peacock Design 95,1000,Temple,Peacock,4,Easy,Jasmine,Rose,Daisy,White,Pink,White,6,2.4,2,Competition,Temple peacock design,3,2,393.6
96,Peacock Design 96,600,Temple,Peacock,7,Medium,Lotus,Daisy,Chrysanthemum,Pink,White,White,3,4.2,2,Competition,Temple peacock design,3,2,792.0
97,Star Design 97,600,Traditional,Star,4,Easy,Orchid,Chrysanthemum,Daisy,Purple,White,White,8,2.4,5,School,Traditional star design,3,2,1004.3
98,Star Design 98,1500,Temple,Star,4,Easy,Daisy,Lotus,Marigold,White,Pink,Yellow,8,2.4,5,Home,Temple star design,3,3,924.0
99,Temple Style Design 99,800,Temple,Temple Style,8,Hard,Marigold,Orchid,Daisy,Yellow,Purple,White,5,4.8,4,Home,Temple temple style design,3,3,1006.4
100,Temple Style Design 100,1200,Modern,Temple Style,5,Easy,Tuberose,Marigold,Daisy,White,Yellow,White,6,3.0,3,Office,Modern temple style design,3,2,581.8
101,Peacock Design 101,1200,Modern,Peacock,7,Medium,Chrysanthemum,Jasmine,Daisy,White,White,White,6,4.2,3,School,Modern peacock design,3,1,1841.6
102,Star Design 102,2000,Floral,Star,6,Medium,Orchid,Chrysanthemum,Rose,Purple,White,Pink,7,3.6,2,Office,Floral star design,3,3,1396.3
103,Circular Design 103,1800,Temple,Circular,9,Hard,Jasmine,Lotus,Chrysanthemum,White,Pink,White,6,5.4,2,Competition,Temple circular design,3,2,421.2
104,Star Design 104,1500,Traditional,Star,4,Easy,Rose,Marigold,Orchid,Pink,Yellow,Purple,6,2.4,4,Office,Traditional star design,3,3,1476.9
105,Star Design 105,1500,Traditional,Star,9,Hard,Rose,Marigold,Tuberose,Pink,Yellow,White,7,5.4,5,Home,Traditional star design,3,3,914.2
106,Lotus Design 106,1200,Traditional,Lotus,7,Medium,Lotus,Rose,Daisy,Pink,Pink,White,8,4.2,3,School,Traditional lotus design,3,2,1434.0
107,Star Design 107,1800,Modern,Star,4,Easy,Marigold,Rose,Orchid,Yellow,Pink,Purple,5,2.4,3,Competition,Modern star design,3,3,935.9
108,Circular Design 108,2000,Floral,Circular,7,Medium,Chrysanthemum,Jasmine,Lotus,White,White,Pink,5,4.2,2,Competition,Floral circular design,3,2,846.8
109,Circular Design 109,1500,Floral,Circular,7,Medium,Marigold,Daisy,Chrysanthemum,Yellow,White,White,8,4.2,4,Home,Floral circular design,3,2,1872.0
110,Circular Design 110,1000,Modern,Circular,5,Easy,Orchid,Lotus,Daisy,Purple,Pink,White,5,3.0,2,Competition,Modern circular design,3,3,1007.3
111,Circular Design 111,1000,Traditional,Circular,4,Easy,Tuberose,Daisy,Orchid,White,White,Purple,6,2.4,2,School,Traditional circular design,3,2,1222.1
112,Peacock Design 112,800,Modern,Peacock,8,Hard,Rose,Daisy,Marigold,Pink,White,Yellow,6,4.8,5,School,Modern peacock design,3,3,728.5
113,Lotus Design 113,600,Traditional,Lotus,9,Hard,Daisy,Marigold,Rose,White,Yellow,Pink,3,5.4,3,Home,Traditional lotus design,3,3,1411.8
114,Star Design 114,1000,Temple,Star,8,Hard,Orchid,Marigold,Jasmine,Purple,Yellow,White,3,4.8,4,Competition,Temple star design,3,3,1900.3
115,Circular Design 115,1000,Floral,Circular,5,Easy,Jasmine,Lotus,Rose,White,Pink,Pink,5,3.0,4,Home,Floral circular design,3,2,1719.1
116,Circular Design 116,800,Traditional,Circular,5,Easy,Tuberose,Rose,Orchid,White,Pink,Purple,7,3.0,4,Office,Traditional circular design,3,3,1328.4
117,Circular Design 117,1000,Temple,Circular,5,Easy,Rose,Tuberose,Marigold,Pink,White,Yellow,7,3.0,2,School,Temple circular design,3,3,1304.3
118,Lotus Design 118,1200,Temple,Lotus,5,Easy,Daisy,Jasmine,Lotus,White,White,Pink,8,3.0,2,Competition,Temple lotus design,3,2,1058.8
119,Temple Style Design 119,2000,Floral,Temple Style,9,Hard,Orchid,Jasmine,Daisy,Purple,White,White,5,5.4,2,Office,Floral temple style design,3,2,647.3
120,Peacock Design 120,1800,Traditional,Peacock,6,Medium,Chrysanthemum,Lotus,Marigold,White,Pink,Yellow,3,3.6,3,Competition,Traditional peacock design,3,3,1960.0
121,Circular Design 121,1500,Traditional,Circular,9,Hard,Lotus,Orchid,Jasmine,Pink,Purple,White,3,5.4,5,Home,Traditional circular design,3,3,567.2
122,Temple Style Design 122,1200,Temple,Temple Style,4,Easy,Daisy,Rose,Chrysanthemum,White,Pink,White,8,2.4,4,School,Temple temple style design,3,2,434.1
123,Temple Style Design 123,800,Temple,Temple Style,9,Hard,Tuberose,Lotus,Orchid,White,Pink,Purple,5,5.4,3,School,Temple temple style design,3,3,1618.5
124,Circular Design 124,1500,Modern,Circular,6,Medium,Chrysanthemum,Marigold,Rose,White,Yellow,Pink,5,3.6,3,Office,Modern circular design,3,3,594.0
125,Circular Design 125,1500,Modern,Circular,4,Easy,Jasmine,Tuberose,Chrysanthemum,White,White,White,8,2.4,2,Competition,Modern circular design,3,1,2018.9
126,Temple Style Design 126,1500,Floral,Temple Style,7,Medium,Chrysanthemum,Tuberose,Lotus,White,White,Pink,3,4.2,4,Home,Floral temple style design,3,2,1911.1
127,Circular Design 127,600,Traditional,Circular,8,Hard,Marigold,Jasmine,Rose,Yellow,White,Pink,7,4.8,4,Office,Traditional circular design,3,3,1478.7
128,Peacock Design 128,1500,Modern,Peacock,5,Easy,Chrysanthemum,Marigold,Lotus,White,Yellow,Pink,6,3.0,3,Competition,Modern peacock design,3,3,1130.1
129,Peacock Design 129,600,Modern,Peacock,9,Hard,Chrysanthemum,Daisy,Rose,White,White,Pink,3,5.4,4,School,Modern peacock design,3,2,773.6
130,Lotus Design 130,600,Modern,Lotus,4,Easy,Chrysanthemum,Daisy,Marigold,White,White,Yellow,3,2.4,5,Competition,Modern lotus design,3,2,926.2
131,Circular Design 131,1800,Floral,Circular,4,Easy,Chrysanthemum,Daisy,Tuberose,White,White,White,4,2.4,4,Office,Floral circular design,3,1,1129.6
132,Circular Design 132,2000,Floral,Circular,7,Medium,Rose,Tuberose,Chrysanthemum,Pink,White,White,6,4.2,5,Office,Floral circular design,3,2,783.1
133,Temple Style Design 133,600,Floral,Temple Style,4,Easy,Chrysanthemum,Jasmine,Daisy,White,White,White,3,2.4,2,Office,Floral temple style design,3,1,1599.0
134,Circular Design 134,1800,Temple,Circular,5,Easy,Chrysanthemum,Marigold,Tuberose,White,Yellow,White,8,3.0,3,School,Temple circular design,3,2,1035.8
135,Peacock Design 135,1000,Temple,Peacock,5,Easy,Orchid,Tuberose,Lotus,Purple,White,Pink,3,3.0,5,Office,Temple peacock design,3,3,2485.0
136,Lotus Design 136,600,Floral,Lotus,9,Hard,Jasmine,Tuberose,Chrysanthemum,White,White,White,5,5.4,4,Competition,Floral lotus design,3,1,1204.6
137,Circular Design 137,1800,Modern,Circular,9,Hard,Marigold,Chrysanthemum,Jasmine,Yellow,White,White,3,5.4,5,Office,Modern circular design,3,2,750.8
138,Lotus Design 138,1000,Floral,Lotus,8,Hard,Jasmine,Daisy,Rose,White,White,Pink,7,4.8,4,School,Floral lotus design,3,2,1163.7
139,Temple Style Design 139,1800,Traditional,Temple Style,5,Easy,Lotus,Tuberose,Marigold,Pink,White,Yellow,8,3.0,4,Office,Traditional temple style design,3,3,1232.3
140,Temple Style Design 140,1500,Traditional,Temple Style,5,Easy,Orchid,Jasmine,Marigold,Purple,White,Yellow,4,3.0,4,Competition,Traditional temple style design,3,3,1502.0
141,Peacock Design 141,1200,Floral,Peacock,5,Easy,Daisy,Tuberose,Marigold,White,White,Yellow,4,3.0,3,Home,Floral peacock design,3,2,702.9
142,Peacock Design 142,1500,Traditional,Peacock,8,Hard,Tuberose,Chrysanthemum,Orchid,White,White,Purple,5,4.8,2,Competition,Traditional peacock design,3,2,2292.9
143,Circular Design 143,1000,Floral,Circular,7,Medium,Lotus,Orchid,Daisy,Pink,Purple,White,3,4.2,3,Office,Floral circular design,3,3,755.8
144,Star Design 144,2000,Traditional,Star,8,Hard,Chrysanthemum,Orchid,Daisy,White,Purple,White,8,4.8,2,Office,Traditional star design,3,2,862.4
145,Lotus Design 145,800,Floral,Lotus,7,Medium,Tuberose,Orchid,Rose,White,Purple,Pink,6,4.2,3,School,Floral lotus design,3,3,1045.1
146,Circular Design 146,1800,Modern,Circular,4,Easy,Tuberose,Marigold,Daisy,White,Yellow,White,4,2.4,5,Home,Modern circular design,3,2,878.0
147,Circular Design 147,1200,Temple,Circular,4,Easy,Rose,Chrysanthemum,Jasmine,Pink,White,White,8,2.4,2,Competition,Temple circular design,3,2,1088.1
148,Lotus Design 148,1000,Temple,Lotus,8,Hard,Rose,Chrysanthemum,Daisy,Pink,White,White,7,4.8,4,Office,Temple lotus design,3,2,1005.9
149,Circular Design 149,1800,Temple,Circular,6,Medium,Chrysanthemum,Lotus,Jasmine,White,Pink,White,3,3.6,5,Competition,Temple circular design,3,2,988.3
150,Lotus Design 150,2000,Temple,Lotus,5,Easy,Chrysanthemum,Lotus,Daisy,White,Pink,White,4,3.0,2,School,Temple lotus design,3,2,962.9
151,Lotus Design 151,1500,Modern,Lotus,6,Medium,Rose,Tuberose,Orchid,Pink,White,Purple,3,3.6,3,Home,Modern lotus design,3,3,1260.4
152,Temple Style Design 152,1000,Floral,Temple Style,6,Medium,Chrysanthemum,Lotus,Marigold,White,Pink,Yellow,6,3.6,3,Office,Floral temple style design,3,3,1495.0
153,Temple Style Design 153,1800,Temple,Temple Style,5,Easy,Rose,Orchid,Daisy,Pink,Purple,White,5,3.0,5,Office,Temple temple style design,3,3,1542.4
154,Peacock Design 154,1500,Traditional,Peacock,8,Hard,Lotus,Chrysanthemum,Orchid,Pink,White,Purple,7,4.8,5,School,Traditional peacock design,3,3,1286.1
155,Star Design 155,600,Temple,Star,7,Medium,Marigold,Tuberose,Daisy,Yellow,White,White,5,4.2,4,Office,Temple star design,3,2,473.8
156,Star Design 156,1500,Floral,Star,4,Easy,Marigold,Lotus,Tuberose,Yellow,Pink,White,6,2.4,4,Office,Floral star design,3,3,694.2
157,Temple Style Design 157,2000,Floral,Temple Style,5,Easy,Jasmine,Tuberose,Orchid,White,White,Purple,7,3.0,4,School,Floral temple style design,3,2,1410.2
158,Peacock Design 158,2000,Traditional,Peacock,9,Hard,Rose,Daisy,Tuberose,Pink,White,White,5,5.4,4,Competition,Traditional peacock design,3,2,907.6
159,Star Design 159,1500,Traditional,Star,4,Easy,Lotus,Jasmine,Marigold,Pink,White,Yellow,4,2.4,4,Home,Traditional star design,3,3,779.7
160,Circular Design 160,1200,Traditional,Circular,5,Easy,Chrysanthemum,Rose,Jasmine,White,Pink,White,8,3.0,5,School,Traditional circular design,3,2,797.4
161,Peacock Design 161,1200,Traditional,Peacock,9,Hard,Orchid,Daisy,Rose,Purple,White,Pink,8,5.4,2,Office,Traditional peacock design,3,3,420.4
162,Lotus Design 162,800,Temple,Lotus,4,Easy,Lotus,Tuberose,Marigold,Pink,White,Yellow,3,2.4,4,School,Temple lotus design,3,3,772.2
163,Circular Design 163,2000,Temple,Circular,6,Medium,Tuberose,Daisy,Chrysanthemum,White,White,White,8,3.6,3,Home,Temple circular design,3,1,713.8
164,Peacock Design 164,800,Traditional,Peacock,7,Medium,Tuberose,Marigold,Jasmine,White,Yellow,White,8,4.2,4,Home,Traditional peacock design,3,2,1091.6
165,Temple Style Design 165,1200,Floral,Temple Style,9,Hard,Marigold,Chrysanthemum,Lotus,Yellow,White,Pink,6,5.4,4,Office,Floral temple style design,3,3,1469.4
166,Star Design 166,1800,Traditional,Star,5,Easy,Orchid,Lotus,Jasmine,Purple,Pink,White,4,3.0,3,School,Traditional star design,3,3,1327.1
167,Temple Style Design 167,1500,Traditional,Temple Style,4,Easy,Daisy,Rose,Jasmine,White,Pink,White,8,2.4,4,School,Traditional temple style design,3,2,1411.9
168,Peacock Design 168,600,Floral,Peacock,5,Easy,Jasmine,Lotus,Orchid,White,Pink,Purple,3,3.0,5,Office,Floral peacock design,3,3,1027.1
169,Star Design 169,2000,Traditional,Star,7,Medium,Daisy,Marigold,Rose,White,Yellow,Pink,7,4.2,4,Office,Traditional star design,3,3,987.2
170,Star Design 170,800,Traditional,Star,7,Medium,Jasmine,Lotus,Tuberose,White,Pink,White,5,4.2,3,Office,Traditional star design,3,2,1047.1
171,Temple Style Design 171,1200,Temple,Temple Style,8,Hard,Chrysanthemum,Tuberose,Lotus,White,White,Pink,5,4.8,2,Competition,Temple temple style design,3,2,2711.7
172,Star Design 172,600,Modern,Star,6,Medium,Daisy,Lotus,Marigold,White,Pink,Yellow,7,3.6,5,Competition,Modern star design,3,3,940.1
173,Star Design 173,2000,Traditional,Star,9,Hard,Lotus,Chrysanthemum,Rose,Pink,White,Pink,6,5.4,3,Office,Traditional star design,3,2,1558.6
174,Circular Design 174,800,Modern,Circular,6,Medium,Daisy,Jasmine,Rose,White,White,Pink,8,3.6,3,Office,Modern circular design,3,2,938.0
