design_id,flower,role,quantity_kg
44,Daisy,Secondary,0.66
45,Chrysanthemum,Accent,1.15
45,Green Leaves,Accent,0.47
45,Lotus,Accent,1.24
45,Daisy,Primary,1.15
45,Orchid,Secondary,1.34
46,Arali,Accent,0.24
46,Chethi,Accent,0.35
46,Daisy,Accent,0.6
46,Lotus,Accent,0.96
46,Marigold,Accent,0.81
46,Chrysanthemum,Primary,0.92
47,Chrysanthemum,Accent,1.3
47,Marigold,Accent,1.62
47,Jasmine,Primary,1.61
47,Daisy,Secondary,1.52
48,Chethi,Accent,0.3
48,Chrysanthemum,Accent,1.38
48,Daisy,Accent,1.0
48,Green Leaves,Accent,0.35
48,Marigold,Accent,1.07
48,Lotus,Primary,0.95
48,Orchid,Secondary,1.37
49,Daisy,Accent,1.56
49,Green Leaves,Accent,0.32
49,Jasmine,Accent,1.41
49,Rose,Accent,1.32
49,Lotus,Primary,1.82
49,Marigold,Secondary,1.76
50,Daisy,Accent,0.99
50,Green Leaves,Accent,0.42
50,Lotus,Accent,1.12
50,Rose,Accent,1.43
50,Orchid,Primary,1.05
50,Marigold,Secondary,0.83
51,Arali,Accent,0.58
51,Chrysanthemum,Accent,0.98
51,Orchid,Accent,0.94
51,Rose,Primary,0.87
52,Chrysanthemum,Accent,1.38
52,Green Leaves,Accent,0.46
52,Rose,Accent,1.95
52,Orchid,Primary,1.6
52,Daisy,Secondary,1.96
53,Chethi,Accent,0.57
53,Chrysanthemum,Accent,1.42
53,Jasmine,Accent,1.21
53,Marigold,Accent,1.18
53,Orchid,Accent,1.1
53,Daisy,Primary,1.34
53,Lotus,Secondary,1.49
54,Chethi,Accent,0.36
54,Green Leaves,Accent,0.4
54,Orchid,Accent,2.29
54,Rose,Accent,1.44
54,Lotus,Secondary,2.32
55,Arali,Accent,0.56
55,Green Leaves,Accent,0.31
55,Marigold,Accent,2.06
55,Rose,Accent,1.62
55,Jasmine,Primary,1.77
55,Chrysanthemum,Secondary,2.06
56,Chethi,Accent,0.34
56,Chrysanthemum,Accent,1.18
56,Lotus,Accent,1.32
56,Orchid,Accent,1.32
56,Rose,Accent,1.21
56,Marigold,Primary,1.4
57,Chethi,Accent,0.2
57,Chrysanthemum,Accent,1.49
57,Green Leaves,Accent,0.4
57,Lotus,Accent,1.55
57,Marigold,Accent,1.34
57,Orchid,Secondary,1.98
58,Chethi,Accent,0.56
58,Jasmine,Accent,0.42
58,Marigold,Accent,0.55
58,Orchid,Primary,0.63
58,Rose,Secondary,0.47
59,Chrysanthemum,Accent,1.42
59,Daisy,Accent,1.63
59,Marigold,Accent,1.31
59,Jasmine,Primary,1.41
59,Rose,Secondary,2.09
60,Chethi,Accent,0.31
60,Daisy,Accent,0.91
60,Rose,Accent,0.79
60,Orchid,Primary,0.9
60,Jasmine,Secondary,0.92
61,Green Leaves,Accent,0.2
61,Lotus,Accent,1.66
61,Marigold,Accent,1.05
61,Rose,Accent,1.78
61,Chrysanthemum,Primary,1.35
61,Orchid,Secondary,1.3
62,Chrysanthemum,Accent,1.34
62,Orchid,Accent,1.91
62,Marigold,Primary,2.01
62,Daisy,Secondary,1.89
63,Arali,Accent,0.51
63,Chethi,Accent,0.52
63,Lotus,Accent,0.89
63,Marigold,Accent,1.35
63,Jasmine,Primary,1.14
64,Chethi,Accent,0.46
64,Jasmine,Accent,0.91
64,Orchid,Accent,0.79
64,Lotus,Primary,1.15
64,Rose,Secondary,1.11
65,Arali,Accent,0.39
65,Daisy,Accent,0.98
65,Jasmine,Accent,0.58
65,Marigold,Accent,0.98
65,Orchid,Accent,0.76
65,Rose,Primary,1.07
65,Chrysanthemum,Secondary,1.07
66,Chethi,Accent,0.49
66,Green Leaves,Accent,0.17
66,Orchid,Primary,2.46
66,Jasmine,Secondary,2.67
67,Chethi,Accent,0.28
67,Green Leaves,Accent,0.34
67,Marigold,Accent,1.73
67,Chrysanthemum,Primary,2.06
67,Orchid,Secondary,1.45
68,Chethi,Accent,0.31
68,Chrysanthemum,Accent,0.69
68,Marigold,Accent,0.52
68,Daisy,Primary,0.88
69,Chethi,Accent,0.38
69,Jasmine,Accent,2.26
69,Lotus,Primary,2.73
69,Chrysanthemum,Secondary,3.02
70,Chrysanthemum,Accent,0.83
70,Daisy,Accent,0.79
70,Orchid,Accent,0.72
70,Rose,Primary,0.6
70,Lotus,Secondary,0.63
71,Chethi,Accent,0.59
71,Green Leaves,Accent,0.47
71,Jasmine,Accent,1.42
71,Orchid,Accent,2.21
71,Rose,Accent,1.87
71,Marigold,Primary,2.06
71,Chrysanthemum,Secondary,1.29
72,Arali,Accent,0.29
72,Chethi,Accent,0.39
72,Daisy,Accent,0.53
72,Lotus,Accent,0.79
72,Chrysanthemum,Primary,0.75
72,Rose,Secondary,0.53
73,Chethi,Accent,0.27
73,Lotus,Accent,1.36
73,Rose,Accent,0.9
73,Marigold,Primary,0.88
73,Jasmine,Secondary,1.41
74,Arali,Accent,0.31
74,Jasmine,Accent,1.52
74,Lotus,Accent,1.56
74,Orchid,Accent,1.8
74,Marigold,Primary,1.57
74,Rose,Secondary,1.77
75,Arali,Accent,0.37
75,Green Leaves,Accent,0.49
75,Lotus,Accent,0.83
75,Marigold,Accent,0.89
75,Chrysanthemum,Primary,0.74
75,Daisy,Secondary,0.49
76,Chrysanthemum,Accent,1.56
76,Daisy,Accent,1.63
76,Marigold,Accent,1.52
76,Orchid,Primary,1.14
77,Arali,Accent,0.32
77,Chrysanthemum,Accent,1.15
77,Green Leaves,Accent,0.2
77,Jasmine,Accent,1.16
77,Lotus,Accent,0.97
77,Marigold,Accent,0.9
77,Orchid,Primary,1.02
77,Daisy,Secondary,1.15
78,Jasmine,Accent,0.91
78,Lotus,Accent,1.35
78,Marigold,Accent,1.19
78,Rose,Accent,0.91
78,Orchid,Primary,1.03
78,Chrysanthemum,Secondary,1.55
79,Chethi,Accent,0.22
79,Green Leaves,Accent,0.41
79,Rose,Accent,2.3
79,Lotus,Secondary,2.66
80,Chethi,Accent,0.4
80,Chrysanthemum,Accent,0.68
80,Green Leaves,Accent,0.17
80,Marigold,Accent,0.52
80,Orchid,Accent,0.51
80,Rose,Accent,0.47
80,Lotus,Secondary,0.65
81,Daisy,Accent,1.7
81,Jasmine,Accent,1.84
81,Rose,Primary,1.51
81,Lotus,Secondary,1.64
82,Chethi,Accent,0.47
82,Jasmine,Accent,2.22
82,Orchid,Accent,1.49
82,Rose,Accent,1.58
82,Daisy,Primary,1.84
82,Marigold,Secondary,1.63
83,Chethi,Accent,0.58
83,Lotus,Accent,0.82
83,Chrysanthemum,Primary,0.65
83,Orchid,Secondary,0.8
84,Chethi,Accent,0.37
84,Daisy,Accent,0.89
84,Green Leaves,Accent,0.37
84,Marigold,Accent,0.86
84,Jasmine,Primary,0.77
84,Rose,Secondary,0.98
85,Arali,Accent,0.28
85,Chrysanthemum,Accent,0.93
85,Green Leaves,Accent,0.48
85,Lotus,Accent,1.37
85,Marigold,Accent,0.87
85,Rose,Primary,1.11
85,Jasmine,Secondary,1.07
86,Arali,Accent,0.47
86,Chethi,Accent,0.36
86,Rose,Accent,1.01
86,Chrysanthemum,Primary,0.88
86,Jasmine,Secondary,0.78
87,Arali,Accent,0.57
87,Jasmine,Accent,1.16
87,Lotus,Accent,1.2
87,Marigold,Accent,1.0
87,Rose,Accent,1.0
87,Chrysanthemum,Primary,0.69
87,Daisy,Secondary,0.67
88,Jasmine,Accent,1.39
88,Marigold,Accent,1.7
88,Rose,Primary,1.94
88,Chrysanthemum,Secondary,1.49
89,Daisy,Accent,2.65
89,Green Leaves,Accent,0.5
89,Chrysanthemum,Primary,1.72
89,Orchid,Secondary,2.83
90,Daisy,Accent,1.32
90,Lotus,Accent,1.31
90,Rose,Accent,0.93
90,Jasmine,Primary,1.0
90,Marigold,Secondary,1.25
91,Chethi,Accent,0.4
91,Daisy,Accent,0.92
91,Lotus,Accent,0.93
91,Marigold,Accent,0.77
91,Chrysanthemum,Primary,0.93
91,Rose,Secondary,0.8
92,Arali,Accent,0.55
92,Chrysanthemum,Accent,1.23
92,Marigold,Accent,1.69
92,Orchid,Accent,1.49
92,Rose,Secondary,1.45
93,Lotus,Accent,2.08
93,Orchid,Accent,1.83
93,Marigold,Primary,2.54
93,Jasmine,Secondary,1.48
94,Chethi,Accent,0.38
94,Daisy,Accent,1.34
94,Jasmine,Accent,1.67
94,Rose,Accent,1.65
94,Orchid,Primary,1.39
94,Lotus,Secondary,1.77
95,Arali,Accent,0.44
95,Marigold,Primary,1.1
95,Rose,Secondary,1.16
96,Daisy,Accent,0.81
96,Jasmine,Accent,1.03
96,Marigold,Accent,1.06
96,Lotus,Primary,0.68
96,Chrysanthemum,Secondary,0.7
97,Arali,Accent,0.24
97,Chethi,Accent,0.57
97,Daisy,Accent,1.11
97,Jasmine,Accent,1.07
97,Rose,Accent,1.61
97,Marigold,Secondary,1.57
98,Daisy,Accent,1.5
98,Rose,Accent,1.2
98,Lotus,Secondary,1.71
99,Chethi,Accent,0.5
99,Daisy,Accent,0.92
99,Lotus,Accent,0.87
99,Orchid,Primary,0.9
99,Rose,Secondary,0.56
100,Arali,Accent,0.44
100,Chrysanthemum,Accent,0.65
100,Lotus,Accent,0.38
100,Rose,Accent,0.59
100,Jasmine,Primary,0.58
100,Daisy,Secondary,0.56
101,Arali,Accent,0.3
101,Chethi,Accent,0.4
101,Jasmine,Accent,1.62
101,Orchid,Primary,2.26
101,Daisy,Secondary,1.62
102,Chrysanthemum,Accent,2.31
102,Daisy,Accent,1.83
102,Orchid,Secondary,1.67
103,Green Leaves,Accent,0.3
103,Daisy,Primary,1.38
103,Marigold,Secondary,1.89
104,Chethi,Accent,0.33
104,Chrysanthemum,Accent,1.75
104,Jasmine,Accent,1.5
104,Rose,Accent,2.3
104,Daisy,Primary,1.42
104,Marigold,Secondary,1.74
105,Arali,Accent,0.26
105,Chrysanthemum,Accent,0.59
105,Daisy,Accent,1.04
105,Jasmine,Accent,1.0
105,Lotus,Primary,1.08
105,Marigold,Secondary,0.76
106,Chrysanthemum,Accent,0.81
106,Green Leaves,Accent,0.3
106,Orchid,Accent,1.42
106,Rose,Accent,0.94
106,Jasmine,Primary,1.12
106,Marigold,Secondary,1.22
107,Chethi,Accent,0.58
107,Jasmine,Accent,0.65
107,Marigold,Accent,0.7
107,Orchid,Accent,0.51
107,Rose,Primary,0.63
107,Lotus,Secondary,0.78
108,Chethi,Accent,0.53
108,Chrysanthemum,Accent,0.44
108,Green Leaves,Accent,0.35
108,Lotus,Accent,0.44
108,Marigold,Accent,0.76
108,Jasmine,Primary,0.56
108,Orchid,Secondary,0.65
109,Chethi,Accent,0.22
109,Chrysanthemum,Accent,2.35
109,Lotus,Primary,1.9
109,Orchid,Secondary,1.88
110,Chethi,Accent,0.56
110,Jasmine,Accent,0.91
110,Marigold,Accent,0.98
110,Orchid,Accent,0.89
110,Rose,Secondary,0.74
111,Chethi,Accent,0.47
111,Chrysanthemum,Accent,1.92
111,Lotus,Accent,1.53
111,Jasmine,Primary,1.1
111,Marigold,Secondary,1.24
112,Green Leaves,Accent,0.46
112,Rose,Accent,1.52
112,Daisy,Primary,2.15
112,Marigold,Secondary,1.27
113,Chrysanthemum,Accent,1.37
113,Green Leaves,Accent,0.41
113,Jasmine,Accent,1.29
113,Orchid,Accent,1.1
113,Lotus,Primary,1.09
114,Jasmine,Accent,1.4
114,Orchid,Accent,1.56
114,Rose,Accent,1.3
114,Lotus,Primary,1.09
114,Daisy,Secondary,1.61
115,Chethi,Accent,0.59
115,Chrysanthemum,Accent,1.31
115,Jasmine,Accent,1.22
115,Rose,Accent,1.49
115,Orchid,Primary,1.52
115,Marigold,Secondary,0.95
116,Arali,Accent,0.27
116,Chethi,Accent,0.57
116,Daisy,Accent,1.75
116,Jasmine,Primary,2.0
116,Lotus,Secondary,1.61
117,Arali,Accent,0.31
117,Chethi,Accent,0.51
117,Jasmine,Accent,0.83
117,Marigold,Accent,0.7
117,Orchid,Accent,0.73
117,Rose,Accent,0.86
117,Lotus,Primary,0.87
117,Daisy,Secondary,0.91
118,Chethi,Accent,0.54
118,Orchid,Accent,1.16
118,Rose,Primary,1.27
118,Marigold,Secondary,1.41
119,Arali,Accent,0.34
119,Chrysanthemum,Accent,2.28
119,Daisy,Primary,2.21
120,Chethi,Accent,0.21
120,Green Leaves,Accent,0.22
120,Jasmine,Accent,2.57
120,Orchid,Secondary,2.55
121,Chethi,Accent,0.59
121,Rose,Accent,1.8
121,Daisy,Secondary,1.19
122,Daisy,Accent,1.1
122,Green Leaves,Accent,0.33
122,Rose,Accent,0.95
122,Chrysanthemum,Secondary,0.74
123,Arali,Accent,0.25
123,Daisy,Accent,1.73
123,Green Leaves,Accent,0.48
123,Marigold,Accent,1.78
123,Lotus,Primary,1.57
123,Orchid,Secondary,1.31
124,Daisy,Accent,1.26
124,Marigold,Accent,0.83
124,Jasmine,Primary,0.88
124,Chrysanthemum,Secondary,0.79
125,Arali,Accent,0.22
125,Daisy,Accent,1.43
125,Lotus,Accent,1.42
125,Marigold,Accent,1.08
125,Orchid,Accent,1.47
125,Rose,Primary,1.45
125,Jasmine,Secondary,1.02
126,Arali,Accent,0.37
126,Daisy,Accent,1.03
126,Green Leaves,Accent,0.49
126,Jasmine,Accent,1.79
126,Orchid,Accent,1.51
126,Marigold,Primary,1.24
126,Lotus,Secondary,1.19
127,Green Leaves,Accent,0.22
127,Jasmine,Accent,1.4
127,Lotus,Accent,1.52
127,Rose,Accent,1.47
127,Daisy,Primary,1.73
127,Chrysanthemum,Secondary,1.23
128,Arali,Accent,0.2
128,Chrysanthemum,Accent,0.98
128,Jasmine,Accent,1.07
128,Rose,Accent,1.23
128,Orchid,Secondary,0.96
129,Chrysanthemum,Accent,1.16
129,Daisy,Accent,1.23
129,Marigold,Primary,1.24
129,Jasmine,Secondary,1.21
130,Daisy,Accent,1.24
130,Green Leaves,Accent,0.48
130,Jasmine,Primary,2.04
130,Chrysanthemum,Secondary,1.65
131,Arali,Accent,0.58
131,Chethi,Accent,0.37
131,Daisy,Accent,1.26
131,Jasmine,Accent,1.13
131,Marigold,Accent,1.18
131,Chrysanthemum,Primary,1.15
131,Rose,Secondary,1.42
132,Chrysanthemum,Accent,0.49
132,Lotus,Accent,0.69
132,Jasmine,Primary,0.63
132,Orchid,Secondary,0.7
133,Chethi,Accent,0.32
133,Green Leaves,Accent,0.4
133,Orchid,Accent,1.74
133,Daisy,Primary,1.9
133,Lotus,Secondary,1.38
134,Arali,Accent,0.33
134,Lotus,Accent,2.11
134,Chrysanthemum,Primary,1.35
134,Daisy,Secondary,1.34
135,Chethi,Accent,0.47
135,Green Leaves,Accent,0.22
135,Lotus,Accent,1.82
135,Orchid,Accent,1.8
135,Rose,Accent,2.06
135,Jasmine,Primary,1.52
135,Daisy,Secondary,1.59
136,Green Leaves,Accent,0.47
136,Jasmine,Accent,2.26
136,Marigold,Accent,1.61
136,Daisy,Primary,1.39
136,Chrysanthemum,Secondary,1.73
137,Arali,Accent,0.42
137,Green Leaves,Accent,0.15
137,Lotus,Accent,0.83
137,Orchid,Accent,0.75
137,Daisy,Primary,0.53
138,Arali,Accent,0.51
138,Daisy,Accent,1.69
138,Lotus,Accent,1.46
138,Chrysanthemum,Primary,1.72
138,Marigold,Secondary,1.7
139,Arali,Accent,0.38
139,Daisy,Accent,0.94
139,Green Leaves,Accent,0.39
139,Jasmine,Accent,1.06
139,Lotus,Accent,1.46
139,Rose,Accent,1.04
139,Marigold,Primary,1.29
140,Green Leaves,Accent,0.21
140,Jasmine,Accent,1.15
140,Lotus,Accent,1.16
140,Orchid,Primary,1.1
140,Rose,Secondary,1.7
141,Daisy,Accent,1.66
141,Green Leaves,Accent,0.38
141,Jasmine,Accent,1.15
141,Chrysanthemum,Secondary,1.29
142,Chethi,Accent,0.47
142,Green Leaves,Accent,0.23
142,Jasmine,Accent,1.63
142,Marigold,Accent,1.17
142,Orchid,Accent,1.7
142,Rose,Accent,1.55
142,Lotus,Secondary,1.78
143,Chethi,Accent,0.22
143,Daisy,Accent,0.62
143,Lotus,Accent,0.73
143,Rose,Accent,0.66
143,Jasmine,Primary,0.92
143,Marigold,Secondary,0.62
144,Jasmine,Primary,2.38
144,Chrysanthemum,Secondary,1.91
145,Arali,Accent,0.45
145,Chethi,Accent,0.37
145,Jasmine,Accent,1.05
145,Lotus,Accent,0.79
145,Marigold,Accent,1.04
145,Rose,Accent,1.0
145,Daisy,Primary,1.01
146,Green Leaves,Accent,0.28
146,Jasmine,Accent,1.3
146,Orchid,Primary,0.7
146,Rose,Secondary,1.05
147,Chethi,Accent,0.46
147,Chrysanthemum,Accent,0.89
147,Daisy,Accent,1.02
147,Jasmine,Accent,0.85
147,Orchid,Primary,0.8
147,Rose,Secondary,0.83
148,Chethi,Accent,0.51
148,Daisy,Accent,0.94
148,Orchid,Accent,0.91
148,Chrysanthemum,Primary,0.87
148,Rose,Secondary,1.28
149,Green Leaves,Accent,0.33
149,Lotus,Accent,0.97
149,Rose,Accent,1.57
149,Daisy,Primary,1.76
149,Chrysanthemum,Secondary,1.21
150,Chethi,Accent,0.57
150,Chrysanthemum,Accent,0.85
150,Jasmine,Accent,0.82
150,Orchid,Accent,0.91
150,Marigold,Primary,0.82
151,Chethi,Accent,0.52
151,Lotus,Accent,0.97
151,Orchid,Accent,1.06
151,Chrysanthemum,Primary,1.18
151,Rose,Secondary,1.09
152,Arali,Accent,0.56
152,Daisy,Accent,1.08
152,Green Leaves,Accent,0.48
152,Marigold,Accent,1.69
152,Orchid,Accent,1.76
152,Chrysanthemum,Primary,1.29
153,Arali,Accent,0.42
153,Daisy,Accent,1.5
153,Green Leaves,Accent,0.44
153,Jasmine,Primary,1.68
153,Orchid,Secondary,1.71
154,Daisy,Accent,1.69
154,Lotus,Accent,1.39
154,Rose,Accent,1.76
154,Marigold,Primary,1.08
154,Chrysanthemum,Secondary,1.45
155,Arali,Accent,0.3
155,Chrysanthemum,Accent,1.16
155,Green Leaves,Accent,0.24
155,Rose,Primary,0.67
155,Marigold,Secondary,1.19
156,Arali,Accent,0.31
156,Chrysanthemum,Accent,0.89
156,Green Leaves,Accent,0.37
156,Rose,Accent,0.77
156,Marigold,Primary,0.94
156,Jasmine,Secondary,1.05
157,Arali,Accent,0.29
157,Daisy,Accent,1.66
157,Marigold,Accent,1.66
157,Rose,Accent,1.85
157,Lotus,Primary,1.48
157,Chrysanthemum,Secondary,1.31
158,Chrysanthemum,Accent,1.97
158,Green Leaves,Accent,0.18
158,Marigold,Primary,1.69
158,Jasmine,Secondary,1.68
159,Arali,Accent,0.48
159,Jasmine,Accent,0.93
159,Lotus,Accent,0.91
159,Marigold,Accent,0.62
159,Rose,Secondary,0.79
160,Arali,Accent,0.42
160,Chethi,Accent,0.36
160,Daisy,Accent,0.76
160,Orchid,Accent,0.86
160,Marigold,Primary,0.54
160,Chrysanthemum,Secondary,0.71
161,Chethi,Accent,0.53
161,Daisy,Primary,1.03
161,Rose,Secondary,1.15
162,Chrysanthemum,Accent,0.82
162,Daisy,Accent,0.84
162,Green Leaves,Accent,0.48
162,Lotus,Accent,0.76
162,Rose,Accent,0.59
162,Jasmine,Primary,0.76
163,Chrysanthemum,Accent,0.38
163,Daisy,Accent,0.43
163,Green Leaves,Accent,0.28
163,Jasmine,Accent,0.53
163,Rose,Accent,0.49
163,Lotus,Primary,0.4
163,Orchid,Secondary,0.5
164,Arali,Accent,0.32
164,Daisy,Accent,1.22
164,Rose,Accent,1.51
164,Lotus,Primary,1.39
164,Chrysanthemum,Secondary,1.47
165,Arali,Accent,0.42
165,Chrysanthemum,Accent,2.1
165,Marigold,Primary,2.75
165,Jasmine,Secondary,3.18
166,Chethi,Accent,0.31
166,Green Leaves,Accent,0.32
166,Jasmine,Accent,1.38
166,Marigold,Accent,1.51
166,Orchid,Primary,0.98
166,Rose,Secondary,1.38
167,Arali,Accent,0.33
167,Daisy,Accent,2.59
167,Lotus,Primary,2.06
167,Rose,Secondary,2.32
168,Arali,Accent,0.54
168,Chethi,Accent,0.57
168,Chrysanthemum,Accent,0.73
168,Jasmine,Accent,0.66
168,Marigold,Accent,0.83
168,Orchid,Accent,0.76
168,Daisy,Secondary,1.0
169,Chrysanthemum,Accent,1.04
169,Lotus,Accent,1.05
169,Daisy,Primary,0.82
169,Orchid,Secondary,0.84
170,Arali,Accent,0.44
170,Chrysanthemum,Accent,0.8
170,Daisy,Accent,1.01
170,Lotus,Accent,0.92
170,Orchid,Primary,0.95
171,Arali,Accent,0.38
171,Chethi,Accent,0.25
171,Orchid,Accent,2.61
171,Marigold,Primary,3.03
171,Lotus,Secondary,3.2
172,Arali,Accent,0.33
172,Rose,Accent,1.78
172,Jasmine,Primary,1.49
172,Marigold,Secondary,1.73
173,Arali,Accent,0.5
173,Chrysanthemum,Accent,1.42
173,Daisy,Accent,0.84
173,Lotus,Accent,1.54
173,Orchid,Primary,1.21
173,Marigold,Secondary,1.03
174,Arali,Accent,0.3
174,Daisy,Accent,2.54
174,Rose,Primary,1.73
174,Marigold,Secondary,2.17
175,Chethi,Accent,0.5
175,Chrysanthemum,Accent,0.74
175,Lotus,Accent,0.51
175,Orchid,Accent,0.79
175,Rose,Primary,0.76
175,Jasmine,Secondary,0.82
176,Arali,Accent,0.29
176,Daisy,Accent,1.24
176,Lotus,Accent,1.48
176,Rose,Accent,0.92
176,Orchid,Primary,1.17
176,Marigold,Secondary,1.43
177,Daisy,Accent,1.01
177,Green Leaves,Accent,0.16
177,Chrysanthemum,Primary,0.59
